markets,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,ids,popularity
185.0,1w5Kfo2jwwIPruYS2UWh56,234333.0,0.00746,0.615,0.702,0.00431,0.0608,-9.686,0.0278,96.987,0.734,7.0,1.0,4.0,1.0,1w5Kfo2jwwIPruYS2UWh56,75.0
185.0,1w5Kfo2jwwIPruYS2UWh56,234333.0,0.00746,0.615,0.702,0.00431,0.0608,-9.686,0.0278,96.987,0.734,7.0,1.0,4.0,1.0,1w5Kfo2jwwIPruYS2UWh56,74.0
185.0,1w5Kfo2jwwIPruYS2UWh56,234333.0,0.00746,0.615,0.702,0.00431,0.0608,-9.686,0.0278,96.987,0.734,7.0,1.0,4.0,1.0,1w5Kfo2jwwIPruYS2UWh56,73.0
183.0,3R6c2tWDBeYB1GncjLMn9n,299733.0,0.00187,0.552,0.645,1.38e-06,0.0424,-6.595,0.0268,89.518,0.588,7.0,1.0,4.0,1.0,3R6c2tWDBeYB1GncjLMn9n,53.0
184.0,0iHb0mCbqZTYeb4y9Pirrd,246266.0,0.0252,0.384,0.735,2.76e-05,0.114,-6.522,0.0317,137.834,0.312,7.0,1.0,4.0,1.0,0iHb0mCbqZTYeb4y9Pirrd,54.0
185.0,6olE6TJLqED3rqDCT0FyPh,168428.0,5.13e-06,0.413,0.875,0.00058,0.209,-7.48,0.031,131.951,0.575,6.0,0.0,4.0,1.0,6olE6TJLqED3rqDCT0FyPh,81.0
185.0,6olE6TJLqED3rqDCT0FyPh,168428.0,5.13e-06,0.413,0.875,0.00058,0.209,-7.48,0.031,131.951,0.575,6.0,0.0,4.0,1.0,6olE6TJLqED3rqDCT0FyPh,82.0
185.0,6olE6TJLqED3rqDCT0FyPh,168428.0,5.13e-06,0.413,0.875,0.00058,0.209,-7.48,0.031,131.951,0.575,6.0,0.0,4.0,1.0,6olE6TJLqED3rqDCT0FyPh,79.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,232533.0,0.00254,0.306,0.985,0.626,0.13,-6.687,0.0822,133.963,0.255,0.0,1.0,4.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,77.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,232533.0,0.00254,0.306,0.985,0.626,0.13,-6.687,0.0822,133.963,0.255,0.0,1.0,4.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,78.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,232533.0,0.00254,0.306,0.985,0.626,0.13,-6.687,0.0822,133.963,0.255,0.0,1.0,4.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,75.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,245666.0,0.00424,0.226,0.978,1.47e-06,0.109,-7.27,0.107,131.586,0.137,7.0,1.0,4.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,77.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,245666.0,0.00424,0.226,0.978,1.47e-06,0.109,-7.27,0.107,131.586,0.137,7.0,1.0,4.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,78.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,245666.0,0.00424,0.226,0.978,1.47e-06,0.109,-7.27,0.107,131.586,0.137,7.0,1.0,4.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,75.0
185.0,1XIIxzmo6BNRR4QkImSdsX,203800.0,0.00521,0.457,0.92,4.68e-06,0.0948,-12.226,0.0517,102.307,0.282,2.0,1.0,4.0,1.0,1XIIxzmo6BNRR4QkImSdsX,32.0
185.0,3BXLBEYS53k3FXlvHUJsw7,170000.0,0.994,0.169,0.0188,0.993,0.0879,-29.706,0.0416,115.212,0.0382,0.0,1.0,4.0,1.0,3BXLBEYS53k3FXlvHUJsw7,41.0
